max_depth: 32, min_samples_split: 3, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8974500344589939, rmse: 0.3202342354293279
max_depth: 33, min_samples_split: 3, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8991040661612681, rmse: 0.3176412029928295
max_depth: 34, min_samples_split: 3, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.90144727773949, rmse: 0.3139310788381902
max_depth: None, min_samples_split: 3, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8995175740868366, rmse: 0.31698963060826346
max_depth: 29, min_samples_split: 3, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: 30, min_samples_split: 3, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.9003445899379738, rmse: 0.3156824513051465
max_depth: 31, min_samples_split: 3, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8964851826326671, rmse: 0.32173718679588914
max_depth: 32, min_samples_split: 3, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8974500344589939, rmse: 0.3202342354293279
max_depth: 33, min_samples_split: 3, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8968986905582357, rmse: 0.32109392619880606
max_depth: 34, min_samples_split: 3, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8980013783597519, rmse: 0.31937223054023983
max_depth: None, min_samples_split: 3, min_samples_leaf: 2, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8989662301860786, rmse: 0.3178580969771282
max_depth: 29, min_samples_split: 4, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8997932460372157, rmse: 0.31655450393697493
max_depth: 30, min_samples_split: 4, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8975878704341833, rmse: 0.32001895188537927
max_depth: 31, min_samples_split: 4, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8986905582356995, rmse: 0.31829144155050804
max_depth: 32, min_samples_split: 4, min_samples_leaf: 1, max feature: auto, bootstrap: True, _criterion: gini, class_weight:None, n_estimators: 10 accuracy: 0.8991040661612681, rmse: 0.3176412029928295
